aircraft_fully_qualified_registration_no,aircraft_identification_no,manufacturer_name,manufacturer_code,aircraft_model_identifier,aircraft_series_identifier
-17,42416,Boeing,81205,747,8I
-17,42417,Boeing,81205,747,8I
-17,USAF-HERC-88212,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
-16,USAF-HERC-88211,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
-11,USAFGLF503602,Gulfstream,2AAX5,Gulfstream G550,
1,1468,Airbus,FA849,A319,100 ACJ
1,SAC-1,Boeing (McDonnell-Douglas),88277,C-17,A
1,5547,Gulfstream,2AAX5,Gulfstream G550,
1,653,Gulfstream,2AAX5,Gulfstream V,
2,SAC-2,Boeing (McDonnell-Douglas),88277,C-17,A
2,550-0011,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
2,11576,Fokker,ZZZZZ,Fokker,70
2,10617,Fokker,ZZZZZ,Fokker F.27,500
2,5554,Gulfstream,2AAX5,Gulfstream G550,
2,5416,Gulfstream,2AAX5,Gulfstream G550,
2,BC-37,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
3,SAC-3,Boeing (McDonnell-Douglas),88277,C-17,A
3,11566,Fokker,ZZZZZ,Fokker,70
4,602,ATR,ZZZZZ,ATR 42,500
5,545,ATR,ZZZZZ,ATR 72,500
5,5,Dassault,F6117,Falcon 50,
5,LW-170,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air E90
6,178,ATR,ZZZZZ,ATR 42,300
7,007,Airbus Defence & Space,ZZZZZ,A400M,
7,159,ATR,ZZZZZ,ATR 42,300
7,7,Dassault,F6117,Falcon 50,
8,008,Airbus Defence & Space,ZZZZZ,A400M,
8,927,ATR,ZZZZZ,ATR 72,500
9,1202,Antonov,ZZZZZ,An-26,
9,939,ATR,ZZZZZ,ATR 72,500
9,AC-745B,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
10,010,Airbus Defence & Space,ZZZZZ,A400M,
10,5014,Gulfstream,2AAX5,Gulfstream G550,
11,011,Airbus Defence & Space,ZZZZZ,A400M,
11,S-09,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
12,012,Airbus Defence & Space,ZZZZZ,A400M,
12,S-010,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
12,12,ASTA,ZZZZZ,Nomad,N22B
13,S-013,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
14,014,Airbus Defence & Space,ZZZZZ,A400M,
14,S-014,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
15,S-015,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
16,S-018,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
16,5044,Gulfstream,2AAX5,Gulfstream G550,
