customer_segment,key,interco,company_name,icao,cage,,,,,
Integrated Service Providers,Y,N,A J Walter,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,AAR,ZZZZZ,,,,,,
,,N,ABC Aerolineas SA de C.V. Inte,ZZZZZ,,,,,,
Proponent,N,N,ACLAS Global Limited,ZZZZZ,,,,,,
,,N,ACT Airlines Inc.,ZZZZZ,,,,,,
Distributors Brokers,N,N,AERFIN LTD,ZZZZZ,,,,,,
Aircraft Operators,Y,N,AEROLINEAS ARGENTINAS,ARG,,,,,,
Aircraft Operators,N,N,AEROMEXICO,AMX,,,,,,
Proponent,N,N,AEROSPACE ASSET TRADING,ZZZZZ,,,,,,
Proponent,N,N,Aerospace Engineering Group S.,ZZZZZ,,,,,,
Proponent,N,N,Aerospace Turbine Services,ZZZZZ,,,,,,
Proponent,N,N,Aerospares 2000 LTD,ZZZZZ,,,,,,
Proponent,N,N,AEROTRADE LLC,ZZZZZ,,,,,,
TBD,N,N,AEROTRANSCARGO FZE,ZZZZZ,,,,,,
Proponent,N,N,"AEROTRON, LTD.",ZZZZZ,,,,,,
,,N,AEROVIAS DE MEXICO SA DE CV,ZZZZZ,,,,,,
Proponent,N,N,Aesse Misure S.r.l.,ZZZZZ,,,,,,
Aircraft Operators,N,N,AIR ARABIA,ABY,,,,,,
Aircraft Operators,Y,N,AIR CANADA,ACA,,,,,,
Aircraft Operators,N,N,AIR EUROPA,AEA,,,,,,
Aircraft Operators,,N,AIR FRANCE,AFR,,,,,,
Integrated Service Providers,Y,N,Air France Industries,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Air India,AIC,,,,,,
Aircraft Operators,N,N,Air New Zealand,ANZ,,,,,,
Component MRO 3rd Party,N,N,Air Support,ZZZZZ,,,,,,
Aircraft Operators,N,N,AIR TRANSAT,TSC,,,,,,
Airframe OEM,Y,N,Airbus,ZZZZZ,FA849,,,,,
,,N,AIRBUS OPERATION SAS,ZZZZZ,,,,,,
,,N,Airbus-Helicopters,ZZZZZ,,,,,,
,,N,AIRINMAR LTD.,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Alaska Airlines,ASA,,,,,,
Aircraft Operators,N,N,Alitalia,AZA,,,,,,
Aircraft Operators,Y,N,All Nippon Airways,ANA,,,,,,
Proponent,N,N,ALPINE AIR SUPPORT,ZZZZZ,,,,,,
Aircraft Operators,Y,N,American Airlines,AAL,,,,,,
Proponent,N,N,American General Supplies,ZZZZZ,,,,,,
Proponent,N,N,AOG Logistics,ZZZZZ,,,,,,
Proponent,N,N,Artemis Aerospace Ltd,ZZZZZ,,,,,,
Interco,N,Y,ARTUS,ZZZZZ,,,,,,
Proponent,N,N,ASD AVIATION SPARES DISTRIBUTION GMBH,ZZZZZ,,,,,,
Aircraft Operators,N,N,Asiana Airlines,AAR,,,,,,
Aircraft Operators,Y,N,Atlas Air,GTI,,,,,,
Airframe OEM,N,N,ATR,ZZZZZ,,,,,,
,,N,"ATR Americas, Inc",ZZZZZ,,,,,,
,,N,ATR AVIONS TRANSP. REG.,ZZZZZ,,,,,,
,,N,ATR Eastern Support Pte. Ltd,ZZZZZ,,,,,,
Aircraft Operators,N,N,Austrian Airlines,AUA,,,,,,
,,N,AVAIR AERO,ZZZZZ,,,,,,
Distributors Brokers,Y,N,Aviall,ZZZZZ,,,,,,
Aircraft Operators,Y,N,"Avianca (Brazil, Colombia, Ecuador)",ONE,,,,,,
Proponent,N,N,AVIATION SPARES DISTRIBUTION GMBH,ZZZZZ,,,,,,
Airframe OEM,N,N,AVIC-COMAC Shanghai AMC,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,Avtrade,ZZZZZ,,,,,,
Proponent,N,N,AXPO AG,ZZZZZ,,,,,,
Aircraft Operators,N,N,AZUL LINHAS AEREAS BRASILEIRAS S.A.,AZU,,,,,,
Airframe OEM,Y,N,BAE Systems,BAE,K1987,,,,,
Component MRO 3rd Party,Y,N,Barfield,ZZZZZ,,,,,,
,,N,Batam Teknik PT,ZZZZZ,,,,,,
Interco,N,Y,BEAGLE TECHNOLOGY GROUP LTD,ZZZZZ,,,,,,
Component MRO 3rd Party,N,N,BEIJING WEIBO RUIHUA MONITORIN,ZZZZZ,,,,,,
Component MRO 3rd Party,N,N,BEL AIR EXPRESS,ZZZZZ,,,,,,
Airframe OEM,Y,N,Boeing,BOE,81205,,,,,
Airframe OEM,Y,N,Boeing (McDonnell-Douglas),BOE,88277,,,,,
Airframe OEM,Y,N,Bombardier,BFO,L00I6,,,,,
Proponent,N,N,BRIDGEMARK AEROSPACE LTD,ZZZZZ,,,,,,
Aircraft Operators,Y,N,British Airways,BAW,,,,,,
