Company Category,Company Name,Company Type,Country,IATA,ICAO,Status
Airlines,21 Air,Cargo,United States,2I,CSB,Operating
Airlines,223rd State Airline Flight Unit,Other,Russia,,CHD,Operating
Airlines,224th State Airline Flight Unit,Military,Russia,,TTF,Operating
Airlines,748 Air Services,Regional,Kenya,,IHO,Operating
Airlines,9 Air,Low-cost,China,AQ,JYH,Operating
Airlines,Abaete Linhas Aereas,Regional,Brazil,,ABJ,Operating
Airlines,ABX Air,Cargo,United States,GB,ABX,Operating
Airlines,ACE Air Cargo,Cargo,United States,KO,AER,Operating
Airlines,ACE Belgium Freighters,Cargo,Belgium,X7,FRH,Operating
Airlines,ACSA - Air Century,Regional,Dominican Republic,Y2,CEY,Operating
Airlines,ACT Air,Cargo,Turkey,9T,RUN,Operating
Airlines,Aegean Airlines,Mainline,Greece,A3,AEE,Operating
Airlines,Aer Caribe Peru,Cargo,Peru,EF,CPR,Operating
Airlines,Aer Lingus,Mainline,Ireland,EI,EIN,Operating
Airlines,Aero Contractors,Regional,Nigeria,,NIG,Operating
Airlines,Aero Davinci Internacional,Regional,Mexico,,DVI,Operating
Airlines,Aero JBR,Other,Mexico,,AJB,Operating
Airlines,Aero Mongolia,Regional,Mongolia,M0,MNG,Operating
Airlines,Aeroandinas,Regional,Venezuela,,ARD,Operating
Airlines,Aerobratsk,Regional,Russia,,BRP,Operating
Airlines,Aerocardal,Regional,Chile,,CDA,Operating
Airlines,Aerocaribe,Regional,Venezuela,,AOB,Operating
Airlines,Aerocuahonte,Airline ACMI,Mexico,5G,CUO,Operating
Airlines,Aerodesierto,Regional,Chile,,DTO,Operating
Airlines,Aeroeste,Regional,Bolivia,,ROE,Operating
Airlines,Aeroflot Russian Airlines,Mainline,Russia,SU,AFL,Operating
Airlines,Aerogaviota,Regional,Cuba,,GTV,Operating
Airlines,Aerolinea Owen,Regional,Mexico,,OWN,Operating
Airlines,Aerolineas Argentinas,Mainline,Argentina,AR,ARG,Operating
Airlines,Aerolineas Estelar,Mainline,Venezuela,ES,ETR,Operating
Airlines,Aerolineas Mas,Regional,Dominican Republic,,MAF,Operating
Airlines,Aerolineas SOSA,Regional,Honduras,S0,NSO,Operating
Airlines,AeroLink Uganda,Regional,Uganda,A8,XAU,Operating
Airlines,AeroLogic,Cargo,Germany,3S,BOX,Operating
Airlines,Aeromar Airlines,Regional,Mexico,VW,TAO,Operating
Airlines,Aeromas,Regional,Uruguay,,MSM,Operating
Airlines,Aeromexico,Mainline,Mexico,AM,AMX,Operating
Airlines,Aeromexico Connect,Regional,Mexico,5D,SLI,Operating
Airlines,Aeronaves TSM,Cargo,Mexico,,VTM,Operating
Airlines,Aeronexus,Airline ACMI,South Africa,,ARN,Operating
Airlines,AeroPacifico,Regional,Mexico,,TFO,Operating
Airlines,Aero-Service,Regional,Congo,,RSR,Operating
Airlines,Aerospace Consortium,Regional,Kenya,,AKQ,Operating
Airlines,Aerosucre Colombia,Cargo,Colombia,,KRE,Operating
Airlines,Aerotranscargo,Cargo,Moldova,F5,ATG,Operating
Airlines,Aerotucan,Regional,Mexico,,RTU,Operating
Airlines,AeroUnion,Cargo,Mexico,6R,TNO,Operating
Airlines,Aerovias DAP,Regional,Chile,V5,DAP,Operating
Airlines,Aerovis Airlines,Cargo,Ukraine,,VIZ,Operating
Airlines,Africa Charter Airline,Airline ACMI,South Africa,,FSK,Operating
Airlines,Africa World Airlines,Low-cost,Ghana,AW,AFW,Operating
