Engine manufacturer,Engine manufacturer Code,Engine Type,Engines Series
Austro Engine,5570N,AE300,AE330
Austro Engine,5570N,E4,E4
Aviadvigatel (Soloviev),SAZX2,D-30,D-30 KP
Aviadvigatel (Soloviev),SAZX2,D-30,D-30 2
Aviadvigatel (Soloviev),SAZX2,D-30,D-30 3
Aviadvigatel (Soloviev),SAZX2,D-30,D-30 KU
Aviadvigatel (Soloviev),SAZX2,PD-14,PD-14
Aviadvigatel (Soloviev),SAZX2,PS-90,PS-90 A
CFM International,58828,CFM56,CFM56-7B
CFM International,58828,CFM56,CFM56-3C
CFM International,58828,CFM56,CFM56-5C
CFM International,58828,CFM56,CFM56-2A
CFM International,58828,CFM56,CFM56-2
CFM International,58828,CFM56,CFM56-5B
CFM International,58828,CFM56,CFM56-3B
CFM International,58828,CFM56,CFM56-2B
CFM International,58828,CFM56,CFM56-5A
CFM International,58828,CFM56,CFM56-2C
CFM International,58828,LEAP,LEAP-1A
CFM International,58828,LEAP,LEAP-1C
CFM International,58828,LEAP,LEAP-1B
Dongan,SX220,WJ-5,WJ-5 A
Dongan,SX220,WJ-5,WJ-5 E
Engine Alliance,3M4S4,GP7200,GP7270
Europrop International (EPI),ZZZZZ,TP400,TP400 D6
GE Business & General Aviation Turboprops,07482,M601,M601 D
GE Business & General Aviation Turboprops,07482,M601,M601 E
GE Business & General Aviation Turboprops,07482,M601,M601 F
GE Business & General Aviation Turboprops,07482,M601,M601 B
GE Business & General Aviation Turboprops,07482,M601,M601
GE Business & General Aviation Turboprops,07482,M601,M601 A
GE Honda Aero Engines Inc,4JQT4,HF-120,HF-120
General Electric,07482,CF34,CF34-1
General Electric,07482,CF34,CF34-3
General Electric,07482,CF34,CF34-10
General Electric,07482,CF34,CF34-8E
General Electric,07482,CF34,CF34-8C
General Electric,07482,CF6,CF6-80C2
General Electric,07482,CF6,CF6-80E1
General Electric,07482,CF6,CF6-50C
General Electric,07482,CF6,CF6-50E
General Electric,07482,CF6,CF6-80A
General Electric,07482,CF6,CF6-6
General Electric,07482,CF700,CF700 2D
General Electric,07482,CF700,CF700 2C
General Electric,07482,CJ610,CJ610-9
General Electric,07482,CJ610,CJ610-5
General Electric,07482,CJ610,CJ610-8
General Electric,07482,CJ610,CJ610-1
General Electric,07482,CJ610,CJ610-4
General Electric,07482,CJ610,CJ610-6
General Electric,07482,CT-64,CT-64 820
General Electric,07482,CT7,CT7-9
General Electric,07482,CT7,CT7-7
General Electric,07482,CT7,CT7-5
General Electric,07482,GE90,GE90-115B
General Electric,07482,GE90,GE90-90B
General Electric,07482,GE90,GE90-110B
General Electric,07482,GE90,GE90-94B
General Electric,07482,GE90,GE90-85B
General Electric,07482,GE9X,GE9X
General Electric,07482,GEnx,GEnx 1B70/75
General Electric,07482,GEnx,GEnx-1B70
General Electric,07482,GEnx,GEnx-2B67
General Electric,07482,GEnx,GEnx-1B74/75
General Electric,07482,GEnx,GEnx-1B76
General Electric,07482,GEnx,GEnx-1B64
General Electric,07482,GEnx,GEnx-1B67
General Electric,07482,H75,H75 200
General Electric,07482,H75,H75 100
General Electric,07482,H80,H80
General Electric,07482,H85,H85
General Electric,07482,Passport 20,Passport 20-18
General Electric,07482,T64,T64 GE-10
General Electric,07482,T64,T64 GE-P4D
General Electric,07482,TF39,TF39 1
Harima Heavy Industries,ZZZZZ,XF7,XF7 10
Honeywell (Garrett),ZZZZZ,ATF3,ATF3-6
