MANDT,PLANT,MATNR,SUB,COMP,FEAT,DESCR,
200,1116,45731-1386,CASE ASSY,Case Detail,sealing face,damaged,
200,1116,45731-1386,CASE ASSY,Insert rosan,,damaged,
200,1116,45731-1386,CASE ASSY,Insert rosan,,worn,
200,1116,45731-1386,CASE ASSY,O Seal,,damaged,
200,1116,45731-1386,CASE ASSY,O Seal,,leaking,
200,1116,45731-1386,CASE ASSY,O Seal,,worn,
200,1116,45731-1386,CASE ASSY,Pin anti rotation,,damaged,
200,1116,45731-1386,CASE ASSY,Pin anti rotation,,worn,
200,1116,45731-1386,CASE ASSY,Retainer Oil Valve Sub Assy,,damaged,
200,1116,45731-1386,CASE ASSY,Tube servo oil transfer,,damaged,
200,1116,45731-1386,CASE ASSY,Tube servo oil transfer,bore,blocked,
200,1116,45731-1386,END COVER ASSY,By pass valve,,leaking,
200,1116,45731-1386,END COVER ASSY,By pass valve,poppet,jammed,
200,1116,45731-1386,END COVER ASSY,By pass valve,poppet sealing face,damaged,
200,1116,45731-1386,END COVER ASSY,By pass valve,poppet sealing face,worn,
200,1116,45731-1386,END COVER ASSY,Dowty Seal,,leaking,
200,1116,45731-1386,END COVER ASSY,Filter Housing,drain plug,leaking,
200,1116,45731-1386,END COVER ASSY,Filter Housing,mating face,leaking,
200,1116,45731-1386,END COVER ASSY,Stud,,damaged,
200,1116,45731-1386,END COVER ASSY,Stud,thread,damaged,
200,1116,45731-1386,END COVER ASSY,Stud,thread,worn,
200,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,F.O.D.,
200,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Oil,
200,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Other,
200,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Particulate,
200,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Water,
200,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling,,Installation problem,
200,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,External damage,
200,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,Missing parts,
200,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,See Analysis Discussion,
200,1116,45731-1386,MATRIX (CORE) ASSY,O Seal,,damaged,
200,1116,45731-1386,MATRIX (CORE) ASSY,O Seal,,worn,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tube,,fretting,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Fuel Circuit,corroded,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Fuel Circuit,eroded,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Oil Circuit,corroded,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Oil Circuit,damaged,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tubeplate,sealing face,damaged,
200,1116,45731-1386,MATRIX (CORE) ASSY,Tubeplate,sealing face,worn,
200,1116,45731-1386,NO FAILURES HAD OCCURRED,Modify,,.,
200,1116,45731-1386,NO FAILURES HAD OCCURRED,Overhaul,,.,
200,1116,45731-1386,NO FAILURES HAD OCCURRED,Recertification,,.,
200,1116,45731-1386,NO FAILURES HAD OCCURRED,See Analysis Discussion,,.,
200,1116,45731-1386,NO FAILURES HAD OCCURRED,Test OK,,.,
200,1116,45731-1386,THERMAL VALVE ASSY,O Seal,,Damaged,
200,1116,45731-1386,THERMAL VALVE ASSY,O Seal,,Leaking,
200,1116,45731-1386,THERMAL VALVE ASSY,O Seal,,Worn,
200,1116,45731-1386,THERMAL VALVE ASSY,Valve Sub Assembly,,Fails to Actuate,
200,1116,45731-1386,THERMAL VALVE ASSY,Valve Sub Assembly,Sealing Face,Damaged,
300,1101,AC69588,CASE ASSY,Case Detail,sealing face,damaged,
300,1101,AC69588,CASE ASSY,Insert rosan,,damaged,
300,1101,AC69588,CASE ASSY,Insert rosan,,worn,
300,1101,AC69588,CASE ASSY,O Seal,,damaged,
300,1101,AC69588,CASE ASSY,O Seal,,leaking,
300,1101,AC69588,CASE ASSY,O Seal,,worn,
300,1101,AC69588,CASE ASSY,Pin anti rotation,,damaged,
300,1101,AC69588,CASE ASSY,Pin anti rotation,,worn,
300,1101,AC69588,CASE ASSY,Retainer Oil Valve Sub Assy,,damaged,
300,1101,AC69588,CASE ASSY,Tube servo oil transfer,,damaged,
300,1101,AC69588,CASE ASSY,Tube servo oil transfer,bore,blocked,
300,1101,AC69588,END COVER ASSY,By pass valve,,leaking,
300,1101,AC69588,END COVER ASSY,By pass valve,poppet,jammed,
300,1101,AC69588,END COVER ASSY,By pass valve,poppet sealing face,damaged,
300,1101,AC69588,END COVER ASSY,By pass valve,poppet sealing face,worn,
300,1101,AC69588,END COVER ASSY,Dowty Seal,,leaking,
300,1101,AC69588,END COVER ASSY,Filter Housing,drain plug,leaking,
300,1101,AC69588,END COVER ASSY,Filter Housing,mating face,leaking,
300,1101,AC69588,END COVER ASSY,Stud,,damaged,
300,1101,AC69588,END COVER ASSY,Stud,thread,damaged,
300,1101,AC69588,END COVER ASSY,Stud,thread,worn,
300,1101,AC69588,EXTERNALLY CAUSED,External Contamination (Induced),,F.O.D.,
300,1101,AC69588,EXTERNALLY CAUSED,External Contamination (Induced),,Oil,
300,1101,AC69588,EXTERNALLY CAUSED,External Contamination (Induced),,Other,
300,1101,AC69588,EXTERNALLY CAUSED,External Contamination (Induced),,Particulate,
300,1101,AC69588,EXTERNALLY CAUSED,External Contamination (Induced),,Water,
300,1101,AC69588,EXTERNALLY CAUSED,Maintenance and Handling,,Installation problem,
300,1101,AC69588,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,External damage,
300,1101,AC69588,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,Missing parts,
300,1101,AC69588,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,See Analysis Discussion,
300,1101,AC69588,MATRIX (CORE) ASSY,O Seal,,damaged,
300,1101,AC69588,MATRIX (CORE) ASSY,O Seal,,worn,
300,1101,AC69588,MATRIX (CORE) ASSY,Tube,,fretting,
300,1101,AC69588,MATRIX (CORE) ASSY,Tube,Fuel Circuit,corroded,
300,1101,AC69588,MATRIX (CORE) ASSY,Tube,Fuel Circuit,eroded,
300,1101,AC69588,MATRIX (CORE) ASSY,Tube,Oil Circuit,corroded,
300,1101,AC69588,MATRIX (CORE) ASSY,Tube,Oil Circuit,damaged,
300,1101,AC69588,MATRIX (CORE) ASSY,Tubeplate,sealing face,damaged,
300,1101,AC69588,MATRIX (CORE) ASSY,Tubeplate,sealing face,worn,
300,1101,AC69588,NO FAILURES HAD OCCURRED,Modify,,.,
300,1101,AC69588,NO FAILURES HAD OCCURRED,Overhaul,,.,
300,1101,AC69588,NO FAILURES HAD OCCURRED,Recertification,,.,
300,1101,AC69588,NO FAILURES HAD OCCURRED,See Analysis Discussion,,.,
300,1101,AC69588,NO FAILURES HAD OCCURRED,Test OK,,.,
300,1101,AC69588,THERMAL VALVE ASSY,O Seal,,Damaged,
300,1101,AC69588,THERMAL VALVE ASSY,O Seal,,Leaking,
300,1101,AC69588,THERMAL VALVE ASSY,O Seal,,Worn,
300,1101,AC69588,THERMAL VALVE ASSY,Valve Sub Assembly,,Fails to Actuate,
300,1101,AC69588,THERMAL VALVE ASSY,Valve Sub Assembly,Sealing Face,Damaged,
300,1116,45731-1386,CASE ASSY,Case Detail,sealing face,damaged,
300,1116,45731-1386,CASE ASSY,O Seal,,damaged,
300,1116,45731-1386,CASE ASSY,O Seal,,leaking,
300,1116,45731-1386,CASE ASSY,O Seal,,worn,
300,1116,45731-1386,CASE ASSY,Retainer Oil Valve Sub Assy,,damaged,
300,1116,45731-1386,END COVER ASSY,By pass valve,,leaking,
300,1116,45731-1386,END COVER ASSY,By pass valve,poppet,jammed,
300,1116,45731-1386,END COVER ASSY,By pass valve,poppet sealing face,damaged,
300,1116,45731-1386,END COVER ASSY,By pass valve,poppet sealing face,worn,
300,1116,45731-1386,END COVER ASSY,Dowty Seal,,leaking,
300,1116,45731-1386,END COVER ASSY,Filter Housing,drain plug,leaking,
300,1116,45731-1386,END COVER ASSY,Filter Housing,mating face,leaking,
300,1116,45731-1386,END COVER ASSY,Stud,,damaged,
300,1116,45731-1386,END COVER ASSY,Stud,thread,damaged,
300,1116,45731-1386,END COVER ASSY,Stud,thread,worn,
300,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,F.O.D.,
300,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Oil,
300,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Other,
300,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Particulate,
300,1116,45731-1386,EXTERNALLY CAUSED,External Contamination (Induced),,Water,
300,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling,,Installation problem,
300,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,External damage,
300,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,Missing parts,
300,1116,45731-1386,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,See Analysis Discussion,
300,1116,45731-1386,MATRIX (CORE) ASSY,O Seal,,damaged,
300,1116,45731-1386,MATRIX (CORE) ASSY,O Seal,,worn,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tube,,fretting,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Fuel Circuit,corroded,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Fuel Circuit,eroded,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Oil Circuit,corroded,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tube,Oil Circuit,damaged,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tubeplate,sealing face,damaged,
300,1116,45731-1386,MATRIX (CORE) ASSY,Tubeplate,sealing face,worn,
300,1116,45731-1386,NO FAILURES HAD OCCURRED,Modify,,.,
300,1116,45731-1386,NO FAILURES HAD OCCURRED,Overhaul,,.,
300,1116,45731-1386,NO FAILURES HAD OCCURRED,Recertification,,.,
