id,PLANT,TYPE,REASON,created_at,updated_at
1,3101,U,AIR SYSTEM FAULT,NULL,NULL
2,3101,U,BOWED ROTOR PROTECTION,NULL,NULL
3,3101,U,CAUSED FOD IN ENGINE,NULL,NULL
4,3101,U,DISAG FAULT MSG,NULL,NULL
5,3101,U,DURING DESCENT FAILURE,NULL,NULL
6,3101,U,ECAM MSG,NULL,NULL
7,3101,U,EEC MAINT BIT,NULL,NULL
8,3101,U,ELECTRICAL FAILURE,NULL,NULL
9,3101,U,ENGINE AIR SYSTEM FAULT,NULL,NULL
10,3101,U,ENGINE STALLS,NULL,NULL
11,3101,U,ENGINE START ABORT,NULL,NULL
12,3101,U,ENGINE SURGE,NULL,NULL
13,3101,U,ENGINE WILL NOT START,NULL,NULL
14,3101,U,EXTERNAL COMPONENT DAMAGED,NULL,NULL
15,3101,U,EXTERNAL COMPONENT MISSING,NULL,NULL
16,3101,U,EXTERNAL LEAKAGE,NULL,NULL
17,3101,U,EXTERNAL VISUAL,NULL,NULL
18,3101,U,FAULT MESSAGE,NULL,NULL
19,3101,U,INOPERATIVE,NULL,NULL
20,3101,U,INTERMITTENT,NULL,NULL
21,3101,U,INTERMITTENT LIGHTS,NULL,NULL
22,3101,U,INTERNAL LEAKAGE,NULL,NULL
23,3101,U,KEEPS RUNNING IN ONE DIRECTION,NULL,NULL
24,3101,U,LIGHT INDICATION FAULT,NULL,NULL
25,3101,U,NO START,NULL,NULL
26,3101,U,NON OPERATIVE,NULL,NULL
27,3101,U,OVERCOOLING,NULL,NULL
28,3101,U,OVERHEATING,NULL,NULL
29,3101,U,REPAIR,NULL,NULL
30,3101,U,REPEAT FAULT,NULL,NULL
31,3101,U,SAFETY WIRE BROKEN,NULL,NULL
32,3101,U,SEIZED,NULL,NULL
33,3101,U,SLOW TO MOVE,NULL,NULL
34,3101,U,STUCK CLOSE,NULL,NULL
35,3101,U,STUCK MID POSITION,NULL,NULL
36,3101,U,STUCK OPEN,NULL,NULL
37,3101,U,WILL NOT CLOSE,NULL,NULL
38,3101,U,WILL NOT OPEN,NULL,NULL
39,3101,U,external visual,NULL,NULL
40,3101,S,CORE,NULL,NULL
41,3101,S,EMBODY SERVICE BULLETIN,NULL,NULL
42,3101,S,EXCHANGE UNIT,NULL,NULL
43,3101,S,FOR CLEANING,NULL,NULL
44,3101,S,INSPECT,NULL,NULL
45,3101,S,INVESTIGATION UNIT,NULL,NULL
46,3101,S,MODIFICATION,NULL,NULL
47,3101,S,NO FAILURE OCCURRED,NULL,NULL
48,3101,S,OVERHAUL,NULL,NULL
49,3101,S,RECERTIFY,NULL,NULL
50,3101,S,SERVICE BULLETIN,NULL,NULL
51,3101,S,SHELF LIFE EXPIRED,NULL,NULL
52,3101,S,TEST,NULL,NULL
53,3101,S,TEST AND EVALUATE,NULL,NULL
54,3101,S,TIME UP,NULL,NULL
55,3101,S,UNKNOWN,NULL,NULL
56,3101,S,UPGRADE,NULL,NULL
57,3101,S,UPGRADE CONFIGURATION,NULL,NULL
58,3515,U,AIR SYSTEM FAULT,NULL,NULL
59,3515,U,BOWED ROTOR PROTECTION,NULL,NULL
60,3515,U,CAUSED FOD IN ENGINE,NULL,NULL
61,3515,U,DISAG FAULT MSG,NULL,NULL
62,3515,U,DURING DESCENT FAILURE,NULL,NULL
63,3515,U,ECAM MSG,NULL,NULL
