,BUS_CD,ICAO_BUS_CD,BUS_NM,BUS_SHRT_NM,AC_ID_NO,AC_REG_NO,AC_OPR_INTL_ID,AC_VAR_BLK_NO,AC_LINE_NO,AFR_MFR_CD,AC_MDL_ID,AC_SER_ID,USG_TYPE_CD,AC_DLVRY_DT,AC_RMV_SERV_CD,AC_RMV_SERV_DS
1,02D,?,SERVE AIR SARL,?,26921,9S-PII,,PM396,01973,81205,737,300SF,COML,07/01/1991,,?
3,09M,,"M AUTOMOTIVE GROUP, LLC","M AUTOMOTIVE GROUP, LLC",26929,N737CM,,YG031,00356,81205,737,700BJ,PRIV,26/08/1999,,?
5,0FT,,RELIANCE AIRCRAFT INT'L INC,RELIANCE AIRCRAFT INT'L INC,26930,N902AW,,NB022,00079,81205,757,200EM,LEAS,05/12/1985,R,RETIRED
7,0I0,,UR FOR AVIATION AND AIR CARGO,UR AIRLINES,26932,4L-AAK,,PQ985,02955,81205,737,300,COML,13/11/1997,,?
9,0IL,,NORTH-WESTERN CARGO INTERNATIONAL AIRLINES CO. LTD.,NORTH-WESTERN CARGO AIRLINES,26936,B-2868,,NN051,00993,81205,757,200,COML,11/12/2001,L,LONG TERM STORAGE
11,0IL,,NORTH-WESTERN CARGO INTERNATIONAL AIRLINES CO. LTD.,NORTH-WESTERN CARGO AIRLINES,26937,B-2866,,NJ032,01048,81205,757,200,COML,20/09/2004,L,LONG TERM STORAGE
13,10A,,REGIONAL ONE INC,REGIONAL ONE,26940,7T-VJG,,VK131,00310,81205,767,300,LEAS,28/06/1990,,?
15,10A,,REGIONAL ONE INC,REGIONAL ONE,26944,7T-VJI,,VK133,00332,81205,767,300,LEAS,12/10/1990,,?
17,1AA,SQP,"SKYUP AIRLINES, LLC",SKYUP AIRLINES,26945,UR-SQG,,YC981,00381,81205,737,800,COML,29/10/1999,,?
19,1AA,SQP,"SKYUP AIRLINES, LLC",SKYUP AIRLINES,27577,UR-SQD,,YB117,01202,81205,737,700,COML,20/08/2002,,?
21,1AA,SQP,"SKYUP AIRLINES, LLC",SKYUP AIRLINES,27578,UR-SQJ,,YH202,02590,81205,737,900ER,COML,02/05/2008,,?
24,1AA,SQP,"SKYUP AIRLINES, LLC",SKYUP AIRLINES,27579,UR-SQA,,YR073,04616,81205,737,800,COML,19/09/2013,,?
26,1AA,SQP,"SKYUP AIRLINES, LLC",SKYUP AIRLINES,27581,UR-SQB,,YR076,04723,81205,737,800,COML,18/12/2013,,?
28,1EL,,ELECTRA AIRWAYS LTD.,ELECTRA AIRWAYS LTD.,28678,LZ-EBB,,PS788,02715,81205,737,300,CHTR,25/04/1995,L,LONG TERM STORAGE
30,1MC,,ANGELICA AIRCRAFT ASSETS LIMITED,ANGELICA AIRCRAFT ASSETS LIMITED,28679,B-2527,,PM408,02097,81205,737,300SF,COML,09/08/1991,,?
32,1MI,,MIAMI AIR INTERNATIONAL,MIAMI AIR INTERNATIONAL,29479,N735MA,,YR102,03688,81205,737,800,CHTR,24/06/2011,L,LONG TERM STORAGE
34,1VA,,VOYAGE AIR,VOYAGE AIR,29480,LZ-TER,,PT052,02238,81205,737,500,COML,12/03/1992,L,LONG TERM STORAGE
36,21A,,21 AIR LLC,21 AIR,29859,N881YV,,VE121,00161,81205,767,200ERSF,COML,02/07/1987,,?
38,3AH,,"AVIATION HOLDINGS III INVESTMENTS, LLC","AVIATION HOLDINGS III INVESTMENTS, LLC",29860,N738SM,,YC064,00619,81205,737,800,LEAS,28/07/2000,,?
40,A11,,"AEROTHRUST HOLDINGS LEASING, LLC","AEROTHRUST HOLDINGS LEASING, LLC",29862,N390US,,PP013,01162,81205,737,300,LEAS,08/11/1985,L,LONG TERM STORAGE
42,A18,,ACASS CANADA LTD,ACASS,30216,T7-GSA,,YD416,03024,81205,737,800BJ,CHTR,09/12/2010,,?
44,A1J,,AC JONIKA LLC,AC JONIKA LLC,30217,UR-CRY,,PQ199,01928,81205,737,300,COML,09/10/1990,L,LONG TERM STORAGE
46,A1J,,AC JONIKA LLC,AC JONIKA LLC,30218,UR-CSV,,PW522,02677,81205,737,400,COML,07/12/1994,L,LONG TERM STORAGE
48,A1R,,ACCENT AIR INC,ACCENT AIR INC,30219,4X-EAR,,VN972,00583,81205,767,300EREM,PRIV,22/06/1995,L,LONG TERM STORAGE
50,A1V,,AVIACOMPANY AVIASTAR-TU,AVIASTAR-TU AIRLINES,30221,VQ-BKK,,ND183,00562,81205,757,200PCF,COML,09/07/1993,L,LONG TERM STORAGE
