id,version,version2,CHG,ROC,RDT,RSD,OPR,RON,SFI,MRD,MFR,MPN,SER,RRC,FFC,FFI,FCR,FAC,FBC,FHS,REM,INT,SHL,RFI,SAC,MFR3,AMC,MFN,ASE,REG,AIN,TRF,OTT,OPC,check,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350284043,1/19/17,S3960,241-322-008-022,AE63853,U,NT,NA,NA,NA,NA,NA,"* For repair - Fan vib high. * TSN: 26207:42    CSN: 3978    PMA: No    Quote: Yes    PO amount: 4.694 = ,00$    PBH: No    PFR: No * C/W Policy Sheet G-77-31-101 Dated 26Aug2016. * EASA + FAA","Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found. Policy sheet G-77-31-101 not need to applied.",R2,1,,ZZZZZ,UNK,,,,UNK,N,26207,3978,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350293335,3/28/17,S3960,241-280-053-013,AL19762,U,NT,NA,NA,NA,NA,NA,* For warranty service - Removed per mtsi. * Report from avi bench. That the last DFDR down load showed engine vib   filter alerts. * TSN: 2930:35    CSN: 1296    PMA: No    Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,"Seal(s) ok and no major physical damage has been noticed. N1 Tacho loss in memeory, external fault. Self test is pass. Unit works within specifications. No fault found. Job done under warranty",R2,1,,ZZZZZ,UNK,,,,UNK,N,2930,1296,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,KLM,Meggitt SA,350278081,12/1/16,S3960,241-298-002-015,AF19842,U,FT,NI,CR,CM,CB,HW,* For warranty repair - * M640 - Eng 1 no vibration indication. * A/C: 737 / A/C reg: PH-BXY * TSN: 17897 / CSN: 10249 * PFR: NO * PMA: NO * Quote: YES * EASA / FAA / TCCA,"Service Rep EVM298 Seal ok and no major physical damages has been noticed. Some light scratches noticed on case. Algo 3 in memory at reception. Failure ""System Fault 21"" found in memory at reception due to deffective EEprom. EEprom must be replaced. SB 298-77-008 Rev.1 Jan 08/15 checked, already applied at reception. SB 298-77-011 Rev.1 Jan 08/15 checked, already applied at reception. Algo 3 will be loaded.",R2,1,,81205,737,BOEING,800,PH-BXY,30372,N,17897,10249,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350284550,1/24/17,S3960,241-298-002-015,AD38322,U,NT,NA,NA,NA,NA,NA,"* For repair - Eng vibe indication zero or fluctuates. * A/C: A40-BC    A/C reg: B737    TSN: 33235    CSN: 14969 PMA: No * Quote: Yes    PO amount: 104,20 $    PBH: No    PFR: No * Special SB/CMM request: CMM 298-77-008 and 298-77-011 * EASA + FAA + TCCA",Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,ZZZZZ,UNK,,,,UNK,N,33235,14969,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ASA,Meggitt SA,350286746,2/8/17,S3960,241-298-002-011,AC89996,U,NT,NA,NA,NA,NA,NA,* for repair - Defect: GE Diagnostics reports #1 and #2 engine vibration   systems not reporting correctly * A/C reg: N708AS - TSN/CSN: 28205/11858 * EASA / FAA,"Service Rep EVM298 Seal ok, no major damage was notified at reception. Self test ok. No fault in memory. Unit works within specification. No fault found.",R2,1,,81205,737,BOEING,400,N708AS,28895,N,28205,11858,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350287038,2/13/17,S3960,241-256-000-131,EF395,U,NT,NA,NA,NA,NA,NA,* For bench test - * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,ZZZZZ,UNK,,,,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350289193,2/28/17,S3960,241-215-000-031,0135,U,NT,NA,NA,NA,NA,NA,"* For repair - Powerplant engineering request. * C/W Policy Sheet M-77-32-01 Dated 03Dec2009 * TSN: 14607:50    CSN: 3335    PMA: No    Quote: Yes * PO amount: 4.930,00 $    PBH: No    PFR: No * EASA + FAA","Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Due to previous return, several ATP done on this unit, no malfonction noted. Self test is pass. Unit works within specifications. No fault found.",R2,1,,81205,UNK,BOEING,,,UNK,N,14607,3335,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DAL,Meggitt SA,350289673,3/3/17,S3960,241-252-000-041,EC194,U,NT,NA,NA,NA,NA,NA,"* For test and repair - * With applicable delta supplemental information REV 002, PUB 41111 * During PDC found maintenance MSG'S ""R ENG VIB BITE"" <(> <<)>(><(>&<)><(> = <<)>)> ""L ENG VIB BITE"" * A/C: N/A / A/C reg: N/A * Total-Time: 36351:54 FT / CSN: 5369:00 CT * PFR: NO * PMA: NO * Quote: YES * Special SB/CMM request: 77-31-56 REV 002 * EASA / FAA",Service Rep OLD-EVM  Seals ok. No major physical damages has been noticed. Several tests done. Unit works within specifications. No faults found.,R2,1,,ZZZZZ,UNK,,,UNK,UNK,N,36351,5369,,
R2009.1,1,2,N,95411,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350289741,3/3/17,95411,6672M451,BJ21,U,FT,NI,CR,NA,NA,SW,* For repair - * LQ91.542 during daily inspection found eng #1 vibration monitoring   indication for broadband steady on 1.0 units * A/C: 757 / A/C reg: G-BMRJ * TSN: N/A / CSN: N/A * PFR: NO * PMA: NO * Quote: YES * EASA / FAA,Subcontracted to MOC,R2,0,IRTR,81205,757,Boeing,200SF,G-BMRJ,24268,,,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DAL,Meggitt SA,350290794,3/9/17,S3960,241-323-007-021,AE16694,U,FT,NI,CR,NA,NA,HW,"* for inspection / repair in accordance with OEM CMM 77-30- 18, REV 002   with applicable delta supp. info. REV 002, PUB 49257 OEM IPC 77-30-18,   REV 001 with applicable delta supp. info REV 001, PUB 49258 * Defect: Left engine vibration indication is blank. * TSO/CSO: 4246:24/440:00 * EASA / FAA","Service Rep EVM323 Seal ok, no damage was notified at reception. Unt doesn't power up due to AC/DC defect. AC/DC module must be replaced. Oscillators on Arinc module must be replaced preventively. Soft Rolls loaded via SB 323-77-005 rev 2. Unit under warranty.",R2,1,,ZZZZZ,UNK,,,UNK,UNK,O,4246,440,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350292282,3/22/17,S3960,241-322-008-022,AK74435,U,FT,NI,CR,NA,NA,HW,* For repair - No vibration indication on RH engine. * A/C: 2T-TEH    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No * EASA + FAA + TCCA + CAAC,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit doesn't power up due to AC/DC defect. AC/DC must be replaced. Oscillators on Arinc module and VPM module must be replaced preventivelly FOC. Unit under warranty.",R2,1,,ZZZZZ,UNK,,,,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,FDB,Meggitt SA,350292826,3/24/17,S3960,241-298-002-015,AJ35941,U,FT,NI,NC,NM,NA,HW,* for repair - Defect: Shows fault codes 12 <(>&<)> 16 * A/C reg: A6-FEE - TSN/CSN: UNK * EASA / FAA / TCCA,"Service Rep EVM298 Seal ok. No major physical damages noticed. No failures in memory at reception. Unit tested under thermal stress. VAFM failures noticed during tests, due to defective VAFM module. The VAFM module must be replaced by a new one via SB 298-77-014 Rev.0 Nov 07/13, which introduces the ModRec 6.",R2,1,,81205,737,BOEING,800,A6-FEE,40258,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AEA,Meggitt SA,350292841,3/24/17,S3960,241-280-056-014,AB42859,U,FT,NI,CR,NA,NA,HW,* For repair * Defect: no indication inparameters engine * TSN / CSN: not known * Removed from EC-IDT * EASA / FAA / TCCA / CAAC,Service Rep EVM280 Seal(s) ok and Light scratches on housing has been noticed at reception. No faults detected in memory at reception. Intermittent failure were detected during investigation test on ATP due to defective GPM GPM must be replaced Self Test is pass. SB 280-77-006 Rev.1 Date of issue Feb 24/15 already applied.,R2,1,,81205,737,Boeing,800,EC-IDT,30281,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DAL,Meggitt SA,350292924,3/24/17,S3960,241-252-000-041,EC163,U,NT,NA,NA,NA,NA,NA,"* for inspection / repair in accordance with OEM CMM 77-31- 56, REV 002   with applicable delta supp. info. REV 002, PUB 41111. Off A/C: 00149,   major assembly FTN: Cannot be determined - TSN/CSN: 53573:24/7309:00 * EASA / FAA",Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,ZZZZZ,UNK,,,UNK,UNK,N,53573,7309,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350293932,4/4/17,S3960,241-298-002-015,AF82054,S,NT,NA,NA,NA,NA,NA,* for repair in accordance with the latest revision of the manufacturers   CMM. No deviations from this CMM workscope are permitted without   approval. Defect: Both eng. vib indications blanked. AVM computer   replaced IAW AMM77-31-03 REV 62. * A/C reg: UNK - TSN/CSN: 16552/8830 * EASA / FAA,Service Rep EVM298 Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,TEST,81205,UNK,BOEING,,UNK,UNK,N,16552,8830,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350294860,4/7/17,S3960,241-280-056-014,AA45380,U,NA,IN,CR,NA,NA,HW,* For test and recertification * Reason for removal: unit contaminated with hydraulic fluid * G-BIKK phase out * A/C: ZG-BIKK * A/C type: B757 200SF * EASA / FAA,"Seal(s) OK. Customer complain confirmed, Unit contaminated by fluid. Housing is damaged and must be changed. Visual inspection done on all module, no damage noticed. ATP is pass.",R2,1,,81205,757,Boeing,200SF,G-BIKK,22182,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ETH,Meggitt SA,350294942,4/10/17,S3960,241-322-008-022,AF63445,U,NT,NA,NA,NA,NA,NA,* for repair - Right engine N1 vibration indicator is too high frequency * A/C reg: ET-ANR - TSSN/CSN: 27628.66/4381 * EASA / FAA,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,81205,777,BOEING,200LR,ET-ANR,40774,N,27628,4381,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SIA,Meggitt SA,350295227,4/11/17,S3960,241-323-007-021,AF00363,U,FT,NI,CR,NA,NA,HW,"* For repair - Eng Vib monitor L sts msg * TSN 16489.01, CSN 4101, 9V-SYL * EASA/FAA","Service Rep EVM323 Seal ok, no major damage was notified at reception. Unit works within specification. Due to fault 10 and 18 in memory, VPM module must be replaced via SB 323-77-006 rev 0, Modrec 8 added. Oscillators replaced on Arinc module preventively. Soft Rolls loaded via SB 323-77-005 rev 2.",R2,1,,81205,777,BOEING,300,9V-SYL,33376,N,16489,4101,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350295229,4/10/17,S3960,241-298-002-011,AC89996,U,FT,NI,CR,NA,NA,HW,"* For warranty repair * Bad from stcok, Defect: TSR908328 * Failed no display, high vib readingd after 1 hour * * TSN 28205, CSN 11858, A/C: 708AS * * FAA","Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, display blank. Processing module must be repaired. Unit under warranty",R2,1,,ZZZZZ,UNK,,,,UNK,N,28205,11858,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,UAE,Meggitt SA,350296295,4/18/17,S3960,241-322-008-022,AE08555,U,NT,NA,NA,NA,NA,NA,* for repair - Defect: Status - ENG vib monitor R maint. msg - SCU has an   internal fault MM: 77-00032 * A/C reg: A6-EWH - TSN/CSN: 38487:56/4942.00 - PFR: YES * EASA / FAA,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,81205,777,BOEING,200LR,A6-EWH,35587,N,38487,4942,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CHH,Meggitt SA,350276020,11/15/16,S3960,241-298-002-015,AJ88535,U,NT,NA,NA,NA,NA,NA,* For warranty repair - Intermittent left engine vibration value   indicates. Failure need to replace AVM. CMM for free. * A/C: B-5852    A/C reg: 73N    TSN: 9649.13    PMA: No Quote: Yes * PO amount: No     PBH: No    PFR: No * EASA + FAA + CAAC,"Service Rep EVM298  Seal ok. No major physical damages has been noticed. Light scratches noticed on case. Algo 1 in memory at reception. ""N2 Tacho Loss E1"" failure detected in memory at reception. This failure could not be reproduced in our shop. Several tests done. Algo 1 will be loaded. Unit tested under thermal stress. Unit works within specifications. No faults found.",R2,1,,81205,737,BOEING,800,B-5852,39204,N,9646,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DAL,Meggitt SA,350277406,11/24/16,S3960,241-252-000-041,EC162,U,FT,NI,NC,NA,NA,HW,"* For test and repair / ovehaul (as specified)  iaw OEM CMM 7731-56 rev   002 * with applicable Delta supplemental info rev 002, Pub 41111 incorporate   only those modif authorized in the VSOW/PO and/or Dal Pub configuration   control change record * no deviation without prir Dal approval. * * **AA** * EO 7730-01031 REV   P3 AVM Upgrade, 767-300ER - replace 76-0577-8-0004    check, 76, Endevco AVM; return; shop; ini last accom: 02.02.2016 * * TT: 6021, TC: 9879. * Dal Rev 2 DTD 10/06/2011; OEM rev 2 DTD 09/20/2011. issued VR2","Service Rep OLD-EVM Seals ok. No major physical damages has been noticed. Imbalance tests fails, due to bad calibration. Channel A module must be calibrated.",R2,1,,ZZZZZ,UNK,,,UNK,UNK,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZ,Meggitt SA,350278761,12/6/16,S3960,241-298-002-015,AF00634,U,FT,NI,CR,CM,CB,HW,* For repair - Inop * CSN: 12370    PMA: No    Quote: Yes    PO amount: No PBH: No * PFR: No * EASA,"Service Rep EVM298  Seal ok. No major physical damages noticed. Some light scratches noticed on case. The memory could not be read at reception. Loading Softwares failures noticed during tests, due to defective processing module. The processing module must be repaired. Algo 3 with new update of DSP configuration table will be loaded via SB 298-77-011 Rev.1 Jan 08/15.  Your options:  a) You want your unit repaired, inspected and modified      Price: 4'594.00 EUR  b) You want your unit returned in As-Is conditions      Price: 999.00 EUR  c) You want your unit scrapped on site      Price: 0.00 EUR",R2,1,,81205,ZZZ,BOEING,ZZZ,ZZZ,ZZZ,N,12370,,3,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AUA,Meggitt SA,350281504,12/29/16,S3960,241-251-000-121,EB251,U,NT,NA,NA,NA,NA,NA,"* For repair * OE-LAX, TT/TC: N/A * Quote: Yes * PMA: Yes * * EASA/FAA * Please use task „Repaired"" or „Overhauled"" within the Field   ""Status/Work"" on your certificate if applicable. Please do not use ""Modi = fied"" in the case of combinations of Repair/Overhaul+Modification. Please state any potential modification details in the remarks   field on the certificate.","Seal(s) ok and no major physical damage has been noticed. Unit failure found in memeory, never occurs in our shop. Self test is pass. Unit works within specifications. No fault found. Your options: . . a) - You want your unit inspected and recertified     1356.00 EUR . . b) - You wish us to return the unit ""AS IS""     999.00 EUR . . c) - Scrap on site and investigation charges       999.00 EUR",R2,1,,81205,767,BOEING,300EREM,OE-LAX,27095,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SVA,Meggitt SA,350281911,1/3/17,S3960,251-103-000-401,0113,U,NT,NA,NA,NA,NA,NA,* For repair - * Fail * A/C: 747 / A/C reg: HZ-HM1B * TSN: N/A / CSN: N/A * PFR: NO * PMA: NO * Quote: YES * EASA / FAA,No major physical damage has been noticed. Unit works within specifications. No fault found.,R2,1,,81205,747,BOEING,747-SP,HZ-HM1B,21652,N,5128,2916,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SIA,Meggitt SA,350282193,1/5/17,S3960,241-323-007-021,AF15044,U,NT,NA,NA,NA,NA,NA,* For repair - Eng. vib monitor R. * A/C reg: 9V-SVF    TSN: 15459:49    CSN: 3444    PMA: No Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,"Service Rep EVM323 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found. Soft Rolls loaded via SB 323-77-005 rev 2.",R2,1,,81205,777,BOEING,200ER,9V-SVF,30871,N,15459,3444,,
